Site_Name,Land_Sea_Mask,Topographic_Altitude,Solar_Zenith_Angle,Sensor_Zenith_MODIS_Terra,Scattering_Angle_MODIS_Terra,AOD_AllQA_550_MODIS_Terra_Mean,AOD_AllQA_550_MODIS_Terra_STD,AOD_AllQA_550_MODIS_Terra_Pixels,AOD_FilteredQA_550_MODIS_Terra_Mean,AOD_FilteredQA_550_MODIS_Terra_STD,AOD_FilteredQA_550_MODIS_Terra_Pixels,Sensor_Zenith_VIIRS_SNPP,Scattering_Angle_VIIRS_SNPP,AOD_AllQA_550_VIIRS_SNPP_Mean,AOD_AllQA_550_VIIRS_SNPP_STD,AOD_AllQA_550_VIIRS_SNPP_Pixels,AOD_FilteredQA_550_VIIRS_SNPP_Mean,AOD_FilteredQA_550_VIIRS_SNPP_STD,AOD_FilteredQA_550_VIIRS_SNPP_Pixels,Sensor_Zenith_AHI_H08,Scattering_Angle_AHI_H08,AOD_AllQA_550_AHI_H08_Mean,AOD_AllQA_550_AHI_H08_STD,AOD_AllQA_550_AHI_H08_Pixels,AOD_FilteredQA_550_AHI_H08_Mean,AOD_FilteredQA_550_AHI_H08_STD,AOD_FilteredQA_550_AHI_H08_Pixels,Sensor_Zenith_MODIS_Aqua,Scattering_Angle_MODIS_Aqua,AOD_AllQA_550_MODIS_Aqua_Mean,AOD_AllQA_550_MODIS_Aqua_STD,AOD_AllQA_550_MODIS_Aqua_Pixels,AOD_FilteredQA_550_MODIS_Aqua_Mean,AOD_FilteredQA_550_MODIS_Aqua_STD,AOD_FilteredQA_550_MODIS_Aqua_Pixels,Sensor_Zenith_ABI_G16,Scattering_Angle_ABI_G16,AOD_AllQA_550_ABI_G16_Mean,AOD_AllQA_550_ABI_G16_STD,AOD_AllQA_550_ABI_G16_Pixels,AOD_FilteredQA_550_ABI_G16_Mean,AOD_FilteredQA_550_ABI_G16_STD,AOD_FilteredQA_550_ABI_G16_Pixels,Sensor_Zenith_ABI_G17,Scattering_Angle_ABI_G17,AOD_AllQA_550_ABI_G17_Mean,AOD_AllQA_550_ABI_G17_STD,AOD_AllQA_550_ABI_G17_Pixels,AOD_FilteredQA_550_ABI_G17_Mean,AOD_FilteredQA_550_ABI_G17_STD,AOD_FilteredQA_550_ABI_G17_Pixels,Sensor_Zenith_AHI_H09,Scattering_Angle_AHI_H09,AOD_AllQA_550_AHI_H09_Mean,AOD_AllQA_550_AHI_H09_STD,AOD_AllQA_550_AHI_H09_Pixels,AOD_FilteredQA_550_AHI_H09_Mean,AOD_FilteredQA_550_AHI_H09_STD,AOD_FilteredQA_550_AHI_H09_Pixels,Sensor_Zenith_VIIRS_NOAA20,Scattering_Angle_VIIRS_NOAA20,AOD_AllQA_550_VIIRS_NOAA20_Mean,AOD_AllQA_550_VIIRS_NOAA20_STD,AOD_AllQA_550_VIIRS_NOAA20_Pixels,AOD_FilteredQA_550_VIIRS_NOAA20_Mean,AOD_FilteredQA_550_VIIRS_NOAA20_STD,AOD_FilteredQA_550_VIIRS_NOAA20_Pixels,AOD_AllQA_550_LEOGEO_Mean,AOD_AllQA_550_LEOGEO_STD,AOD_AllQA_550_LEOGEO_TotalPixels,AOD_AllQA_550_LEOGEO_SensorWeighting,AOD_AllQA_550_LEOGEO_NumberOfSensors,AOD_FilteredQA_550_LEOGEO_Mean,AOD_FilteredQA_550_LEOGEO_STD,AOD_FilteredQA_550_LEOGEO_TotalPixels,AOD_FilteredQA_550_LEOGEO_SensorWeighting,AOD_FilteredQA_550_LEOGEO_NumberOfSensors
Cuiaba,1,164.96445,66.5707763671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28.57,123.67,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0
Alta_Floresta,1,271.2311,68.5376171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,24.96,124.24000000000001,0.123,0.0,1,0.123,0.0,1,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,0.123,0.0,1,[-9999     0 -9999     0     1     0 -9999     0],1,0.123,0.0,1,[-9999     0 -9999     0     1     0 -9999     0],1
Jamari,1,108.35111,62.3726806640625,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,17.63,123.28,0.079,0.024,8,0.079,0.024,8,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,0.079,0.0,8,[-9999     0 -9999     0     1     0 -9999     0],1,0.079,0.0,8,[-9999     0 -9999     0     1     0 -9999     0],1
Tucson,1,818.85114,57.336259765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,19.990000000000002,129.91,0.201,0.254,6,0.418,0.41200000000000003,2,53.95,120.08,0.222,0.09,15,0.224,0.097,11,47.08,158.89000000000001,0.382,0.28600000000000003,8,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,37.67,132.11,0.322,0.34900000000000003,13,0.47100000000000003,0.317,9,0.28200000000000003,0.074,42,[-9999     1 -9999     1     1     1 -9999     0],4,0.371,0.106,22,[-9999     1 -9999     1     1     0 -9999     0],3
GSFC,1,47.63,77.6702587890625,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,45.28,124.78,-9999.0,-9999.0,0,-9999.0,-9999.0,0,76.44,158.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0
Kolfield,1,36.70889,79.7655517578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,46.37,125.15,-9999.0,-9999.0,0,-9999.0,-9999.0,0,78.82000000000001,158.06,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0
Porto_Nacional,1,240.68333,75.3777001953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,33.4,125.24000000000001,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0
Brasilia,1,1071.4856,73.9751953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,36.43,124.75,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0
Harvard_Forest,1,307.94223,82.85412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,49.54,125.55,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0
Wallops,1,3.6142857,77.842666015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,44.11,124.91,-9999.0,-9999.0,0,-9999.0,-9999.0,0,77.08,157.75,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-16860.0,-16860.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0,28008.0,28008.0,0,[-9999     0 -9999     0     0     0 -9999     0],0
